user_id,timestamp,call_duration_mins,data_usage_mb,complaint_flag,churn_label
USER_4174,2026-02-24 04:37:25.320087,28.44,3689.98,0,0
USER_4507,2026-02-20 04:18:25.320087,63.13,1170.31,0,0
USER_1860,2026-03-03 11:01:25.320087,31.4,4227.24,0,0
USER_2294,2026-03-09 11:14:25.320087,119.14,2542.01,0,0
USER_2130,2026-02-28 16:23:25.320087,86.57,1866.78,0,0
USER_2095,2026-02-22 21:22:25.320087,52.36,3826.4,0,1
USER_4772,2026-03-06 15:33:25.320087,,376.33,0,0
USER_4092,2026-02-20 23:56:25.320087,17.76,2850.44,0,0
USER_2638,2026-02-22 03:21:25.320087,34.9,2733.86,0,0
USER_3169,2026-02-12 11:46:25.320087,114.73,4339.93,0,0
USER_1466,2026-02-11 11:57:25.320087,67.06,1597.61,0,1
USER_2238,2026-02-16 16:41:25.320087,110.52,,0,0
USER_1330,2026-03-09 19:13:25.320087,118.11,479.68,0,0
USER_2482,2026-02-14 14:32:25.320087,43.55,2720.84,0,0
USER_3135,2026-03-02 04:37:25.320087,69.39,129.86,0,0
USER_4444,2026-03-05 17:53:25.320087,101.68,4686.1,0,0
USER_4171,2026-03-07 07:39:25.320087,33.09,1192.56,0,0
USER_3919,2026-03-02 22:45:25.320087,,2228.89,0,0
USER_4735,2026-03-07 17:59:25.320087,18.82,782.75,0,0
USER_1130,2026-02-18 02:34:25.320087,78.48,1686.43,0,0
USER_2685,2026-03-08 13:39:25.320087,1.0,4564.25,0,1
USER_4380,2026-02-28 13:11:25.320087,54.19,4900.31,0,1
USER_1769,2026-02-23 14:14:25.320087,111.53,1432.4,0,0
USER_3391,2026-02-21 02:30:25.320087,107.73,4086.11,0,0
USER_2515,2026-03-04 04:25:25.320087,96.55,819.7,0,0
USER_4485,2026-02-15 08:11:25.320087,17.37,697.07,0,0
USER_3853,2026-03-05 03:24:25.320087,62.67,694.45,0,0
USER_3433,2026-02-27 21:05:25.320087,86.44,4712.8,0,0
USER_2215,2026-02-17 22:24:25.320087,12.59,3503.4,0,1
USER_1955,2026-02-21 13:31:25.320087,,2897.33,0,1
USER_3324,2026-03-09 04:18:25.320087,5.29,958.54,0,0
USER_2184,2026-03-01 03:36:25.320087,39.11,2654.11,0,0
USER_1459,2026-03-02 15:09:25.320087,105.34,4970.59,1,1
USER_4385,2026-02-21 01:59:25.320087,61.14,4130.95,0,0
USER_1021,2026-03-01 00:04:25.320087,102.47,4933.29,0,0
USER_3300,2026-02-24 08:48:25.320087,10.5,70.65,0,0
USER_1747,2026-02-19 15:18:25.320087,7.2,,0,0
USER_3904,2026-03-08 17:19:25.320087,96.57,1463.95,0,0
USER_4632,2026-02-13 23:14:25.320087,59.98,1663.16,0,0
USER_1474,2026-03-09 07:22:25.320087,56.78,294.36,0,0
USER_2082,2026-03-08 07:43:25.320087,57.34,3368.76,0,0
USER_3558,2026-03-07 16:15:25.320087,46.04,4271.22,0,0
USER_4753,2026-02-18 17:31:25.320087,106.43,1232.3,0,1
USER_3047,2026-02-13 04:00:25.320087,62.76,2618.1,0,0
USER_4547,2026-02-18 19:16:25.320087,116.88,270.07,0,0
USER_3747,2026-03-04 11:36:25.320087,101.66,1410.26,0,1
USER_1975,2026-03-09 18:27:25.320087,88.64,1119.82,0,0
USER_2806,2026-02-22 07:55:25.320087,,4878.95,0,0
USER_1189,2026-02-17 09:04:25.320087,100.3,2509.07,1,0
USER_4005,2026-02-17 17:53:25.320087,105.87,1089.87,0,0
USER_3734,2026-03-06 21:31:25.320087,,669.94,0,0
USER_4005,2026-03-05 21:25:25.320087,43.49,3883.1,0,0
USER_1562,2026-03-10 00:11:25.320087,96.75,235.88,0,0
USER_2899,2026-02-22 08:05:25.320087,26.95,696.06,0,0
USER_4638,2026-03-08 15:16:25.320087,70.55,265.54,0,0
USER_2267,2026-02-13 01:20:25.320087,93.76,1840.58,0,0
USER_3879,2026-03-09 23:48:25.320087,27.26,4718.48,0,0
USER_2528,2026-02-15 22:19:25.320087,,1184.5,0,0
USER_4202,2026-03-09 09:08:25.320087,109.86,1881.32,1,1
USER_4556,2026-03-09 07:38:25.320087,43.04,3672.47,0,0
USER_4890,2026-02-25 17:55:25.320087,72.76,1027.33,0,0
USER_1646,2026-03-05 22:48:25.320087,52.34,1440.14,0,0
USER_3068,2026-03-09 06:37:25.320087,,1940.79,0,0
USER_3888,2026-03-08 18:57:25.320087,51.19,4772.07,0,0
USER_3214,2026-02-25 06:46:25.320087,43.43,2726.16,0,0
